Category EN,Description,License,Equipment
Recovery/service truck,TRUCK HD RAILROAD INTERNATIONAL 7400 SBA,H725152,108019
Recovery/service truck,TRUCK HD RECOVERY KENWORTH T800,H725510,108020
Recovery/service truck,TRUCK HD RECOVERY KENWORTH T800,H089106,108022
Road construction and cleaning equipment,TRACTOR WHEELED JCB FASTRAC 2155,861EAB,110008
Road construction and cleaning equipment,TRACTOR WHEELED KUBOTA M9540DTC,087EAD,110009
Road construction and cleaning equipment,TRACTOR WHEELED JCB HMV 2155,322EAD,110010
Road construction and cleaning equipment,TRACTOR WHEELED KUBOTA M5-111,AOD112E,110011
Road construction and cleaning equipment,TRACTOR WHEELED JCB FASTRAC 4160,238EAC,110012
Road construction and cleaning equipment,TRACTOR WHEELED 6110B,E138ACD,110013
Road construction and cleaning equipment,TRACTOR WHEELED 6110B,E140ACD,110014
Road construction and cleaning equipment,TRACTOR WHEELED 6110B,E139ACD,110015
Chemical truck,TRUCK HD CHEMICAL 3000 GAL KENWORTH T370,H032206,111012
Chemical truck,TRUCK HD CHEMICAL 3000 GAL KENWORTH T370,H032106,111013
Chemical truck,TRUCK HD CHEMICAL 20 TONN HINO 67443C,H531506,111015
Recovery/service truck,TRUCK HD LUBE KENWORTH T800,H724244,115015
HD truck (tractor),TRACTOR AIRCRAFT TOW (TUG) AWD,229EAD,116014
HD truck (tractor),TRUCK HD TRACTOR HYUNDAI HD-1000,H176506,117018
HD truck (tractor),TRUCK HD TRACTOR HYUNDAI HD-1000,H725109,117019
HD truck (tractor),TRUCK HD MAN TGS-41.400,H494106,117020
HD truck (tractor),TRUCK HD MAN TGS-41.400,H497706,117021
HD truck (tractor),TRUCK HD FRAC TANK TRACTOR W/WINCH KENWO,H209306,117022
Dump truck,TRUCK KAMAZ-65201 MULTILIFT HOOK LOADER,H176206,117023
Dump truck,TRUCK KAMAZ-65201 MULTILIFT HOOK LOADER,H190606,117024
Hook loader truck,TRUCK HD HOOK LOADER KENWORTH T800,H192506,117025
Hook loader truck,TRUCK HD HOOK LOADER KENWORTH T800,H205106,117026
Hook loader truck,TRUCK HD HOOK LOADER KENWORTH T800,H205206,117027
Hook loader truck,TRUCK HD HOOK LOADER KENWORTH T800,H205506,117028
Hook loader truck,TRUCK HD HOOK LOADER KENWORTH T800,H205406,117029
Hook loader truck,TRUCK HD HOOK LOADER KENWORTH T800,H205306,117030
HD truck (tractor),TRUCK HD MAN TGX 18.400 ,H550506,117032
HD truck (tractor),TRUCK HD MAN TGX 41.640 ,H550206,117033
HD truck (tractor),TRUCK HD KAMAZ 54901-70014СА ,H519206,117034
