Type (L1),Type (L2),Type (L3)
Грузовая и специализированная техника,Грузовые автомобили,"до 3,5 т"
Грузовая и специализированная техника,Грузовые автомобили,"3,5–5 т"
Грузовая и специализированная техника,Грузовые автомобили,5–12 т
Грузовая и специализированная техника,Грузовые автомобили,> 12 т
Грузовая и специализированная техника,Аварийно-ремонтные автомобили,легковые/фургоны
Грузовая и специализированная техника,Аварийно-ремонтные автомобили,грузовые сервисные
Грузовая и специализированная техника,Аварийно-ремонтные автомобили,спецмастерские
Грузовая и специализированная техника,Автоцистерны и вакуумные машины,до 5 м³
Грузовая и специализированная техника,Автоцистерны и вакуумные машины,5–10 м³
Грузовая и специализированная техника,Автоцистерны и вакуумные машины,10–20 м³
Грузовая и специализированная техника,Автоцистерны и вакуумные машины,> 20 м³
Грузовая и специализированная техника,Коммунальная и снегоуборочная техника,малые
Грузовая и специализированная техника,Коммунальная и снегоуборочная техника,средние
Грузовая и специализированная техника,Коммунальная и снегоуборочная техника,крупные
Подъёмная и складская техника,Автокраны и мобильные краны,до 25 т
Подъёмная и складская техника,Автокраны и мобильные краны,26–80 т
Подъёмная и складская техника,Автокраны и мобильные краны,81–200 т
Подъёмная и складская техника,Автокраны и мобильные краны,> 200 т
Подъёмная и складская техника,"Подъёмники (ножничные, коленчатые)",до 12 м
Подъёмная и складская техника,"Подъёмники (ножничные, коленчатые)",12–20 м
Подъёмная и складская техника,"Подъёмники (ножничные, коленчатые)",20–40 м
Подъёмная и складская техника,"Подъёмники (ножничные, коленчатые)",> 40 м
Подъёмная и складская техника,Вилочные и телескопические погрузчики,до 3 т
Подъёмная и складская техника,Вилочные и телескопические погрузчики,3–5 т
Подъёмная и складская техника,Вилочные и телескопические погрузчики,5–10 т
Подъёмная и складская техника,Вилочные и телескопические погрузчики,> 10 т
Дорожно-строительная и землеройная техника,Экскаваторы,мини (до 6 т)
Дорожно-строительная и землеройная техника,Экскаваторы,средние (6–20 т)
Дорожно-строительная и землеройная техника,Экскаваторы,тяжёлые (> 20 т)
Дорожно-строительная и землеройная техника,Погрузчики и мини-погрузчики,мини
Дорожно-строительная и землеройная техника,Погрузчики и мини-погрузчики,средние
Дорожно-строительная и землеройная техника,Погрузчики и мини-погрузчики,тяжёлые
Дорожно-строительная и землеройная техника,"Грейдеры, катки, тракторы",лёгкие
Дорожно-строительная и землеройная техника,"Грейдеры, катки, тракторы",средние
Дорожно-строительная и землеройная техника,"Грейдеры, катки, тракторы",тяжёлые
"Компрессоры, насосы и вакуумное оборудование",Компрессоры дизельные,до 250 CFM
"Компрессоры, насосы и вакуумное оборудование",Компрессоры дизельные,251–500 CFM
"Компрессоры, насосы и вакуумное оборудование",Компрессоры дизельные,501–900 CFM
"Компрессоры, насосы и вакуумное оборудование",Компрессоры дизельные,> 900 CFM
"Компрессоры, насосы и вакуумное оборудование",Компрессоры электрические,до 250 CFM
"Компрессоры, насосы и вакуумное оборудование",Компрессоры электрические,251–500 CFM
"Компрессоры, насосы и вакуумное оборудование",Компрессоры электрические,501–900 CFM
"Компрессоры, насосы и вакуумное оборудование",Компрессоры электрические,> 900 CFM
"Компрессоры, насосы и вакуумное оборудование",Насосы и вакуумные установки,малые (до 200 м³/ч)
"Компрессоры, насосы и вакуумное оборудование",Насосы и вакуумные установки,средние (201–500 м³/ч)
"Компрессоры, насосы и вакуумное оборудование",Насосы и вакуумные установки,крупные (> 500 м³/ч)
Электрогенерация и освещение,Генераторы стационарные,до 50 kVA
Электрогенерация и освещение,Генераторы стационарные,51–200 kVA
Электрогенерация и освещение,Генераторы стационарные,201–500 kVA
Электрогенерация и освещение,Генераторы стационарные,> 500 kVA
Электрогенерация и освещение,Генераторы передвижные,до 50 kVA
Электрогенерация и освещение,Генераторы передвижные,51–200 kVA
Электрогенерация и освещение,Генераторы передвижные,201–500 kVA
Электрогенерация и освещение,Генераторы передвижные,> 500 kVA
Электрогенерация и освещение,Осветительные мачты и станции,до 4 кВт
Электрогенерация и освещение,Осветительные мачты и станции,4–9 кВт
Электрогенерация и освещение,Осветительные мачты и станции,> 9 кВт
"Прицепы, ёмкости и мобильные модули",Грузовые и низкорамные прицепы,до 10 т
"Прицепы, ёмкости и мобильные модули",Грузовые и низкорамные прицепы,10–40 т
"Прицепы, ёмкости и мобильные модули",Грузовые и низкорамные прицепы,40–100 т
"Прицепы, ёмкости и мобильные модули",Грузовые и низкорамные прицепы,> 100 т
"Прицепы, ёмкости и мобильные модули",Мобильные офисы и жилые модули,офис
"Прицепы, ёмкости и мобильные модули",Мобильные офисы и жилые модули,склад
"Прицепы, ёмкости и мобильные модули",Мобильные офисы и жилые модули,спецмодуль
"Прицепы, ёмкости и мобильные модули",Frac-танки и мобильные резервуары,до 50 м³
"Прицепы, ёмкости и мобильные модули",Frac-танки и мобильные резервуары,50–100 м³
"Прицепы, ёмкости и мобильные модули",Frac-танки и мобильные резервуары,> 100 м³
Пожарная и аварийная техника,Пожарные автомобили,помперы
Пожарная и аварийная техника,Пожарные автомобили,пенные
Пожарная и аварийная техника,Пожарные автомобили,рукавные/поддержка
Пожарная и аварийная техника,Пожарные насосы и установки,стационарные
Пожарная и аварийная техника,Пожарные насосы и установки,передвижные
Пожарная и аварийная техника,Пожарные насосы и установки,мотопомпы
